"id","Tipo"," Asignatura","GRUPO","PE","SEMESTRE","Horas a la semana","Modalidad","Créditos","MODELO","NOMBRE(S)","APELLIDOS","Grupo Responsable","LIC MEFI","LCC MEFI","LIS MEFI","LA MEFI","LEM MEFI","LM cupo","CUPO MAX","Lunes","Aula1","Martes","Aula2","Miércoles","Aula3","Jueves","Aula4","Viernes","Aula5","","","","",""
"44-LIC3-Acompañamiento","Obligatoria","Física","","IC(2013)","3","2.5","Acompañamiento","8","MEFI","Aarón Abraham","Aguayo González","Coord. LIC","25","","","","","","35","","","","","","","14:00 - 16:30","D2","","","","","","",""
"45-LIC3-Acompañamiento","Obligatoria","Métodos Numéricos","","IC(2013)","3","2.5","Acompañamiento","8","MEFI","Gabriel","Murrieta Hernández","Coord. LIC","20","","","","","","20","","","15:00 - 17:30","CC7","","","","","","","","","","",""
"46-","Obligatoria","Prácticas Profesionales","","IC(2013)","8","1.5","Regular","8","MEFI","Johan Jair","Estrada López","Coord. LIC","25","","","","","","25","","","","","11:00 - 12:30","Cubículo","","","","","","","","",""
"47-LIC6","Obligatoria","Señales y Sistemas","","IC(2013)","6","3","Regular/Acompañamiento","8","MEFI","Gabriel","Murrieta Hernández","Coord. LIC","30","","","","","","30","17:30 - 19:00","C6","12:30 - 14:00","CC3","","","16:30 - 18:00","CC3","","","","","","",""
"49-","Obligatoria","Servicio Social","","IC(2013)","8","1.5","Regular","12","MEFI","Johan Jair","Estrada López","Coord. LIC","25","","","","","","25","","","","","","","13:30 - 15:00","Cubículo","","","","","","",""
"51-LIC6","Obligatoria","Sistemas Digitales II","","IC(2013)","6","3","Regular","8","MEFI","Johan Jair","Estrada López","Coord. LIC","30","","","","","","30","16:00 - 17:30","Laboratorio de electrónica","","","17:00 - 18:30","H2","12:00 - 13:30","H1","","","","","","",""
"52-LIC7-Acompañamiento","Obligatoria","Sistemas Embebidos","","IC(2013)","7","2.5","Acompañamiento","8","MEFI","Otilio","Santos Aguilar","Coord. LIC","10","","","","","","10","10:00 - 12:30","Laboratorio de robótica","","","","","","","","","","","","",""
"53-LCC4-G4+LIC4-G1+LIC4-G3","Optativa","Diseño y Manufactura Digital con Fusion 360","","CC(2016)-IS(2016)-IC(2013)","4, 6, 4","5","Regular","8","MEFI","Fernando Alberto","Ruiz Cardeña","Coord. LIC","8","8","8","","","","24","","","10:00 - 12:00","Laboratorio de robótica","","","10:30 - 12:00","Laboratorio de robótica","12:00 - 13:30","Laboratorio de robótica","","","","",""
"54-LIC6-G1+LIC8-G1","Optativa","Domótica con Linux y Raspberry Pi","","IC(2013)","5","4.5","Regular","8","MEFI","Gabriel","Murrieta Hernández","Coord. LIC","10","","","","","","10","14:00 - 15:30","Laboratorio de electrónica","17:30 - 19:00","Laboratorio de electrónica","","","18:30 - 20:00","Laboratorio de electrónica","","","","","","",""
"56-LIC6-G3+LIC8-G3","Optativa","Física de Dispositivos Semiconductores","","IC(2013)","5","3","Regular","6","MEFI","Ángel Adrián","Bacelis Jiménez","Coord. LIC","20","","","","","","20","","","","","19:30 - 21:00","Laboratorio de electrónica","","","19:30 - 21:00","Laboratorio de electrónica","","","","",""
"57-LIC6-G2+LIC8-G2","Optativa","Sensores Inteligentes","","IC(2013)","5","4.5","Regular","8","MEFI","Irwing Aarón","Cifuentes González","Coord. LIC","","25","","","","","25","14:00 - 15:30","Laboratorio de robótica","17:30 - 19:00","Laboratorio de robótica","","","18:30 - 20:00","Laboratorio de robótica","","","","","","",""
"58-LCC6-G1+LCC8-G1+LIS6-G1+LIS8-G1+LIC6-G1+LIC8-G1","Optativa","Agile Enterprise Project Delivery using the Salesforce Platform ","","CC(2016)-IS(2016)-IC(2013)","6","4","Regular","9","MEFI","Collí Yah Freddy","Cambranes Martínez Edgar","Coord. LIS","7","7","16","","","","30","19:00 - 21:00","V. Síncrona","","","19:00 - 21:00","V. Síncrona","","","","","","","","",""
"59-LIS8-G6","Optativa","AWS Academy Cloud Foundations","","IS(2016)","7","4","Regular","9","MEFI","Eduardo Antonio","Rodríguez González","Coord. LIS","","","35","","","","35","19:00 - 21:00","V. Síncrona","","","","","19:00 - 21:00","V. Síncrona","","","","","","",""
"60-LCC6-G2+LCC8-G2+LIS6-G2+LIS8-G2+LIC6-G2+LIC8-G2","Optativa","Commerce Cloud using the Salesforce Platform","","CC(2016)-IS(2016)-IC(2013)","6","4","Regular","9","MEFI","Smith Shein","Moguel Solís Juan Carlos","Coord. LIS","5","5","20","","","","30","19:00 - 21:00","V. Síncrona","","","19:00 - 21:00","V. Síncrona","","","","","","","","",""
"61-LCC6-G1+LCC8-G1+LIS6-G1+LIS8-G1+LIC6-G1+LIC8-G1","Optativa","Ethical Hacking","","CC(2016)-IS(2016)-IC(2013)","6","4","Regular","9","MEFI","Pastor Enrique","Góngora Cárdenas","Coord. LIS","10","10","15","","","","35","","","19:00 - 21:00","CC1","","","","","19:00 - 21:00","CC1","","","","",""
"62-LCC6-G3+LCC8-G3+LIS6-G3+LIS8-G3+LIC6-G3+LIC8-G3","Optativa","Modelos de Programación Paralela","","CC(2016)-IS(2016)-IC(2013)","5,6,5","4","Regular","8","MEFI","José Luis","López Martínez","Coord. LIS","5","5","11","","","","21","","","18:00 - 20:00","CC7","14:30 - 16:30","CC7","","","","","","","","",""
"63-LIS8-G1","Optativa","Software Architecture in Practice","","IS(2016)","7","4","Regular","9","MEFI","Carlos José","Herrera Plata","Coord. LIS","","","35","","","","35","","","","","13:00 - 15:00","V. Síncrona","","","13:00 - 15:00","V. Síncrona","","","","",""
"64-LCC6-G9+LCC8-G9+LIC6-G9+LIS8-G9+LIC6-G7+LIC8-G7","Optativa","Desarrollo web ágil de API y SPA","","CC(2016)-IS(2016)-IC(2013)","6","4","Regular","9","MEFI","David Antonio","Soberanis Ramírez","Coord. LIS","5","7","18","","","","30","19:00 - 21:00","CC4","19:00 - 21:00","CC4","","","","","","","","","","",""
